,locality,type of property,subtype of property,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
157,Vurste,HOUSE,HOUSE,375000.0,5.0,185.0,0,,,True,,,,235,UNKNOWN,False,UNKNOWN
158,Oostkamp,HOUSE,HOUSE,439000.0,3.0,396.0,0,False,,,,,,2982,,False,TO_RENOVATE
159,Leuven,APARTMENT,DUPLEX,190000.0,1.0,28.0,INSTALLED,True,,,,,,,,False,
160,Oostende,APARTMENT,PENTHOUSE,229900.0,1.0,75.0,INSTALLED,,,True,30.0,,,,,False,JUST_RENOVATED
161,Sint-Amandsberg,HOUSE,HOUSE,378000.0,4.0,234.0,0,False,,True,,,,204,,False,TO_RENOVATE
162,Hombeek,HOUSE,HOUSE,369000.0,3.0,140.0,INSTALLED,,,True,24.0,True,,0,,False,AS_NEW
163,Gent,HOUSE,HOUSE,635000.0,4.0,239.0,0,,,,,True,,168,,False,
164,Deurne,HOUSE,HOUSE,299900.0,3.0,180.0,SEMI_EQUIPPED,False,,True,20.0,True,60.0,160,,False,TO_RENOVATE
165,Kortrijk,HOUSE,HOUSE,279000.0,4.0,170.0,INSTALLED,,,True,,,,200,2,False,AS_NEW
166,Evergem,HOUSE,HOUSE,340000.0,3.0,170.0,INSTALLED,,,,,True,,374,,False,
167,Clabecq,HOUSE,HOUSE,225000.0,3.0,94.0,NOT_INSTALLED,,,,,True,,711,,False,TO_RENOVATE
168,Lier,APARTMENT,APARTMENT,275000.0,2.0,107.0,,,,True,12.0,,,,,False,AS_NEW
169,Waterloo,HOUSE,HOUSE,1475000.0,5.0,360.0,HYPER_EQUIPPED,False,,True,,True,1000.0,1375,,False,AS_NEW
170,Lasne,HOUSE,VILLA,995000.0,6.0,300.0,NOT_INSTALLED,False,,,,,,14631,4,False,TO_RESTORE
171,Zwevezele,HOUSE,HOUSE,299000.0,3.0,182.0,INSTALLED,False,,True,,True,,534,,False,TO_BE_DONE_UP
172,Willebroek,HOUSE,HOUSE,239000.0,3.0,98.0,,,,,,True,,180,,False,
173,Willebroek,HOUSE,HOUSE,264000.0,3.0,109.0,NOT_INSTALLED,,,,,True,,543,,False,TO_RENOVATE
