,Unnamed: 0,url,region,province,locality,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
7318,7318,https://www.immoweb.be/en/classified/manor-house/for-sale/as/3665/10674574,Flanders,Limburg,As,HOUSE,MANOR_HOUSE,695000.0,5.0,493.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,1458,4,0,GOOD
7319,7319,https://www.immoweb.be/en/classified/house/for-sale/knokke-heist/8300/10388999,Flanders,West Flanders,Knokke-Heist,HOUSE,HOUSE,525000.0,3.0,207.7073648685428,NOT_INSTALLED,0,0,0,0.0,0,0.0,165,4,0,
7320,7320,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/ixelles/1050/10142885,Brussels,Brussels,Ixelles,HOUSE,MIXED_USE_BUILDING,745000.0,3.0,207.7073648685428,USA_HYPER_EQUIPPED,0,0,0,0.0,0,0.0,0,2,0,GOOD
7321,7321,https://www.immoweb.be/en/classified/house/for-sale/hoeilaart/1560/10559952,Flanders,Flemish Brabant,Hoeilaart,HOUSE,HOUSE,745000.0,5.0,253.0,HYPER_EQUIPPED,0,0,1,100.0,1,500.0,1001,4,0,AS_NEW
7322,7322,https://www.immoweb.be/en/classified/manor-house/for-sale/damme/8340/10554394,Flanders,West Flanders,Damme,HOUSE,MANOR_HOUSE,745000.0,3.0,207.7073648685428,NOT_INSTALLED,0,0,0,0.0,0,0.0,283,2,0,GOOD
7323,7323,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/bonheiden/2820/10640405,Flanders,Antwerp,Bonheiden,HOUSE,MIXED_USE_BUILDING,749000.0,5.0,272.0,SEMI_EQUIPPED,0,0,1,95.0,1,1396.0,0,4,0,GOOD
7324,7324,https://www.immoweb.be/en/classified/villa/for-sale/bastogne/6600/10601401,Wallonie,Luxembourg,Bastogne,HOUSE,VILLA,749000.0,3.0,238.0,INSTALLED,0,0,0,0.0,0,0.0,1027,4,1,
7325,7325,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/10629726,Brussels,Brussels,Uccle,HOUSE,HOUSE,750000.0,6.0,320.0,NOT_INSTALLED,0,0,1,0.0,1,170.0,360,2,0,TO_RENOVATE
7326,7326,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/10623318,Brussels,Brussels,Uccle,HOUSE,HOUSE,750000.0,6.0,280.0,HYPER_EQUIPPED,0,0,1,2.0,1,25.0,280,3,0,
7327,7327,https://www.immoweb.be/en/classified/apartment-block/for-sale/wavre/1300/9891941,Wallonie,Walloon Brabant,Wavre,HOUSE,APARTMENT_BLOCK,750000.0,3.0,165.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,121,2,0,GOOD
7328,7328,https://www.immoweb.be/en/classified/house/for-sale/overijse/3090/10564809,Flanders,Flemish Brabant,Overijse,HOUSE,HOUSE,750000.0,4.0,275.0,USA_INSTALLED,0,0,1,55.0,1,400.0,800,4,0,GOOD
7329,7329,https://www.immoweb.be/en/classified/mansion/for-sale/bruxelles/1020/10639933,Brussels,Brussels,Bruxelles,HOUSE,MANSION,760000.0,5.0,291.0,HYPER_EQUIPPED,0,0,1,0.0,1,80.0,200,2,0,GOOD
7330,7330,https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/10588918,Brussels,Brussels,Ixelles,HOUSE,HOUSE,790000.0,4.0,221.0,HYPER_EQUIPPED,0,0,0,0.0,0,0.0,98,2,0,TO_RENOVATE
7331,7331,https://www.immoweb.be/en/classified/mansion/for-sale/anderlecht/1070/10580244,Brussels,Brussels,Anderlecht,HOUSE,MANSION,795000.0,6.0,400.0,HYPER_EQUIPPED,0,1,1,1.0,1,150.0,296,2,0,AS_NEW
7332,7332,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/10640248,Brussels,Brussels,Uccle,HOUSE,HOUSE,795000.0,3.0,240.0,HYPER_EQUIPPED,0,0,1,5.0,1,287.0,401,2,0,GOOD
7333,7333,https://www.immoweb.be/en/classified/villa/for-sale/waterloo/1410/10207904,Wallonie,Walloon Brabant,Waterloo,HOUSE,VILLA,799000.0,5.0,236.0,INSTALLED,0,0,1,0.0,1,1433.0,1433,4,0,GOOD
7334,7334,https://www.immoweb.be/en/classified/villa/for-sale/waterloo/1410/10500852,Wallonie,Walloon Brabant,Waterloo,HOUSE,VILLA,825000.0,4.0,240.0,HYPER_EQUIPPED,0,0,1,0.0,1,809.0,809,4,0,GOOD
